Select,FullBitmap,PartialBitmap,SelVec
0,1266.88,80.9443,69.6579
5,1253.34,161.933,115.647
10,1247.95,238.112,205.138
15,1260.96,319.627,330.146
20,1253.52,393.346,389.294
25,1253.47,437.643,543.519
30,1256.55,535.961,618.428
35,1254.39,663.817,733.208
40,1248.48,728.661,880.233
45,1251.42,814.58,878.143
50,1248.94,836.263,1059.2
55,1250.77,938.921,1073.93
60,1252.12,968.594,1185.74
65,1256.98,1085.06,1227.42
70,1254.6,1176.39,1316.54
75,1259.99,1200.04,1301.75
80,1258.19,1306.55,1383.65
85,1262.36,1320.2,1441.89
90,1247.75,1428.84,1524.2
95,1251.99,1484.65,1571.42
100,1268.57,1555.14,1640.18